63;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gramatica;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;19;16;20;17;18;21;22;23;24;25;26;27;29;28;30;31;32;33;34;40;41;35;36;37;38;39;42;43
R_PROGRAMA;R_PROGRAMA_C3;R_PROGRAMA;R_PROGRAMA_C2;R_PROGRAMA_C3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_INICIO_CONST_VAR_FUNC;;R_INICIO_CONST_VAR_FUNC;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 
R_DEC_CONST_VAR_DERIVADA;R_DEC_CONST_VAR_DERIVADA_C2;;R_DEC_CONST_VAR_DERIVADA;R_DEC_CONST_VAR_DERIVADA_C2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_INICIO_VAR_FUNC;;;R_INICIO_VAR_FUNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_INICIO_FUNC;R_INICIO_FUNC;;;R_INICIO_FUNC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_DEC_CONST;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_CONST_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_CONST_II;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_VAR;;;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_DEC_VAR_CONTINUO;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;
R_DEC_VAR_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_VAR_II;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_FUNC;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_FUNC_I;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;;;;;;;;;
R_PARAMETROS;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_PARAMETROS_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;
R_DEC_MAIN;R_DEC_CONST_CONTINUO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL_BOOL;R_EPSILON;R_EPSILON;
R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EPSILON;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;R_EXP_CONJUNTA;R_EPSILON;R_EPSILON;
R_EXP_CONJUNTA_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;R_EXP_RELACIONAL;R_EPSILON;R_EPSILON;
R_EXP_RELACIONAL_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_OPERAR_RELACIONALMENTE;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_OP_RELACIONAL;R_OP_RELACIONAL_C2;R_OP_RELACIONAL_C3;R_OP_RELACIONAL_C4;R_OP_RELACIONAL_C5;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_OP_RELACIONAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;R_DEC_CONST_CONTINUO;;;;;;;;;;
R_NOT_OPC;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_DEC_CONST_CONTINUO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_EXP_SIMPLES;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_SIMPLES_C2;R_EXP_SIMPLES_C2;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_SIMPLES;R_EXP_SIMPLES;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_SIMPLES_C2;R_EPSILON;R_EPSILON;R_EPSILON;R_EXP_SIMPLES_C2;R_EXP_SIMPLES_C2;R_EXP_SIMPLES_C2;R_EXP_SIMPLES_C2;R_EPSILON;R_EPSILON;R_EXP_SIMPLES_C2;R_EPSILON;R_EPSILON;
R_TERMO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO;R_TERMO;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO;R_TERMO;R_TERMO;R_TERMO;R_EPSILON;R_EPSILON;R_TERMO;R_EPSILON;R_EPSILON;
R_TERMO_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_TERMO_I;R_TERMO_I;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;
R_FATOR;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_EPSILON;R_ID_FUNCAO_E_OUTROS;R_EPSILON;R_EPSILON;R_EPSILON;R_ID_FUNCAO_E_OUTROS_C2;R_FATOR_C5;R_FATOR_C6;R_FATOR_C2;R_EPSILON;R_EPSILON;R_FATOR_C7;R_EPSILON;R_EPSILON;
